epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.339,1.28658,2.43462,1.45078,0.2297,0.95455,0.70907,0.47847,0.81168,2.53661,1.14423,0.00026,0.00026,0.00026
2,58.5824,1.1389,1.7251,1.34813,1,0.22669,0.88965,0.61589,0.91102,2.3912,1.23701,0.000529308,0.000529308,0.000529308
3,77.7594,1.13806,1.56628,1.32665,0.78119,0.81818,0.85919,0.52761,1.07498,1.74878,1.39721,0.000787528,0.000787528,0.000787528
4,97.3113,1.24991,1.59554,1.43187,0.84837,0.76308,0.87596,0.54563,1.1292,1.8442,1.40709,0.00103466,0.00103466,0.00103466
5,122.522,1.27914,1.54105,1.4037,0.64348,0.52273,0.45356,0.2646,1.20991,2.0373,1.45315,0.0012707,0.0012707,0.0012707
6,147.805,1.18902,1.49798,1.39053,0.36159,0.38636,0.2902,0.17014,1.4013,2.29794,1.77032,0.00149566,0.00149566,0.00149566
7,175.338,1.26266,1.48959,1.38644,0.47493,0.31818,0.20613,0.10137,1.65563,2.38227,2.15853,0.00170953,0.00170953,0.00170953
8,198.74,1.1702,1.36712,1.33167,0.45135,0.43182,0.35018,0.19235,1.40493,2.35442,1.81192,0.0017228,0.0017228,0.0017228
9,222.18,1.17621,1.30691,1.34259,0.80501,0.40909,0.42878,0.22528,1.34525,1.97024,1.91196,0.0016832,0.0016832,0.0016832
10,248.563,1.18968,1.28076,1.35562,0.58044,0.45455,0.40989,0.21399,1.3226,1.89165,1.66147,0.0016436,0.0016436,0.0016436
11,270.811,1.2355,1.25745,1.37538,0.56761,0.38636,0.31981,0.17152,1.4794,1.94273,1.71509,0.001604,0.001604,0.001604
12,294.384,1.16348,1.15816,1.32878,0.68326,0.34091,0.30885,0.22509,1.17866,1.52708,1.44357,0.0015644,0.0015644,0.0015644
13,324.61,1.2186,1.23839,1.38925,0.52104,0.18182,0.14669,0.0885,1.20155,1.13692,1.45089,0.0015248,0.0015248,0.0015248
14,356.376,1.15986,1.1825,1.324,0.76608,0.15909,0.1552,0.10004,1.23228,1.27096,1.41129,0.0014852,0.0014852,0.0014852
15,390.109,1.14572,1.20336,1.31547,0.61997,0.15909,0.14703,0.10022,1.04666,1.10433,1.27994,0.0014456,0.0014456,0.0014456
16,420.892,1.14024,1.12273,1.3466,0.58338,0.12787,0.11704,0.08765,1.24359,1.66862,1.47868,0.001406,0.001406,0.001406
17,452.258,1.06626,1.08392,1.28909,0.57677,0.13636,0.128,0.09094,1.30111,1.4815,1.55098,0.0013664,0.0013664,0.0013664
18,493.364,1.08135,1.04584,1.28889,0.46962,0.15909,0.12164,0.06969,1.18432,1.46028,1.40363,0.0013268,0.0013268,0.0013268
19,533.589,1.07826,1.01666,1.2915,0.56826,0.06818,0.08301,0.0339,1.49849,1.55595,1.71744,0.0012872,0.0012872,0.0012872
20,574.402,1.0667,1.01677,1.27115,0.34624,0.09091,0.06431,0.02966,1.19245,1.36791,1.42776,0.0012476,0.0012476,0.0012476
21,619.717,1.05882,0.96362,1.2439,0.34989,0.09091,0.05669,0.02049,1.20322,1.30863,1.45675,0.001208,0.001208,0.001208
22,662.224,1.05532,0.99428,1.26863,0.4626,0.15909,0.14795,0.08874,1.05524,0.95804,1.27857,0.0011684,0.0011684,0.0011684
23,705.768,1.04553,0.97362,1.25367,0.92797,0.15909,0.17411,0.1281,0.92972,0.82835,1.33576,0.0011288,0.0011288,0.0011288
24,746.988,1.04086,0.95311,1.24324,0.46059,0.13636,0.12682,0.09029,1.03329,0.96589,1.29951,0.0010892,0.0010892,0.0010892
25,783.187,0.9947,0.89,1.22372,0.64115,0.15909,0.15731,0.10521,0.91988,0.82609,1.235,0.0010496,0.0010496,0.0010496
26,821.489,1.01388,0.90678,1.22628,0.47466,0.13636,0.12765,0.0825,0.96587,0.84482,1.22807,0.00101,0.00101,0.00101
27,865.367,0.9675,0.81446,1.21421,0.4638,0.13636,0.14548,0.11267,0.84582,0.78726,1.18898,0.0009704,0.0009704,0.0009704
28,906.734,0.9827,0.86548,1.24192,0.33804,0.15909,0.10969,0.06314,0.985,0.83461,1.23576,0.0009308,0.0009308,0.0009308
